Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,31031,Cherry County,Nebraska,6009.44,Crop,40,13,dt,225784000,BTU,0,17368000,Northern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,17109,McDonough County,Illinois,590.1,Crop,40,1.3,dt,22578400,BTU,0,17368000,Corn Belt
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,36051,Livingston County,New York,640.26,Crop,40,2.1,dt,36472800,BTU,0,17368000,Northeast
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,06061,Placer County,California,1502.24,Crop,40,30.4,dt,527987200,BTU,0.02,17368000,Pacific
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,35025,Lea County,New Mexico,4394.69,Crop,60,1482.2,dt,22072922400,BTU,0.34,14892000,Mountain States
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,48121,Denton County,Texas,951.66,Crop,70,0,dt,0,BTU,0,14892000,Southern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,55075,Marinette County,Wisconsin,1429.25,Crop,40,41.8,dt,725982400,BTU,0.03,17368000,Lake States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,25001,Barnstable County,Massachusetts,412.11,Crop,40,15.6,dt,270940800,BTU,0.04,17368000,Northeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,39007,Ashtabula County,Ohio,709.33,Crop,40,1147.8,dt,19934990400,BTU,1.62,17368000,Corn Belt
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,06055,Napa County,California,786.33,Crop,40,80,dt,1389440000,BTU,0.1,17368000,Pacific
near-term,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,30069,Petroleum County,Montana,1674.52,Crop,70,0,dt,0,BTU,0,14830000,Mountain States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,21029,Bullitt County,Kentucky,300.27,Crop,40,4.3,dt,74682400,BTU,0.01,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Oats straw,POLYSYS,39151,Stark County,Ohio,580.53,Crop,70,0,dt,0,BTU,0,14892000,Corn Belt
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,05077,Lee County,Arkansas,622.15,Crop,60,3910.9,dt,58241122799,BTU,6.29,14892000,Delta States
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,13243,Randolph County,Georgia,430.87,Crop,48,3332.6,dt,47049646800,BTU,7.73,14118000,Southeast
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,13095,Dougherty County,Georgia,334.57,Crop,60,401.3,dt,5976159600,BTU,1.2,14892000,Southeast
