county,population
p22047,29617
p22049,14746
p22051,421777
p22053,31553
p22055,249750
p22057,95056
p22059,14800
p22061,47962
p22063,150145
p22065,9246
p22067,23955
p22069,36291
p22071,364136
p22073,157568
p22075,22386
p22077,20000
p22079,126260
p22081,7356
p22083,19712
p22085,21906
p22087,44463
p22089,50620
p22091,10774
p22093,19191
p22095,39592
p22097,81464
p22099,51057
p22101,47055
p22103,275583
p22105,138064
p22107,3764
p22109,103616
p22111,20650
p22113,56992
p22115,46250
p22117,44865
p22119,35238
p22121,28266
p22123,9323
p22125,15371
p22127,13216
p23001,113765
p23003,67351
p23005,310230
p23007,30828
p23009,56526
p23011,127259
p23013,40977
p23015,36507
p23017,59905
p23019,155312
p23021,17486
p23023,37513
p23025,51302
p23027,40620
p23029,31555
p23031,218586
p24001,67273
p24003,594582
p24005,844703
p24009,94728
p24011,33593
p24013,176639
p24015,105672
p24017,171973
p24019,32879
p24021,293391
p24023,28423
p24025,264644
p24027,336001
p24029,19303
p24031,1058474
p24033,947430
p24035,52508
p24037,115281
p24039,24910
p24041,37823
p24043,155813
p24045,104800
p24047,54171
p24510,565239
p25001,231735
p25003,126818
p25005,581841
p25007,20819
p25009,810089
p25011,70836
p25013,460291
p25015,162502
p25017,1623952
p25019,14444
p25021,727473
p25023,535308
p25025,768425
p25027,866866
p26001,10489
p26003,8757
p26005,121939
p26007,28904
p26009,24409
p26011,15145
p26013,8310
p26015,63808
p26017,102500
p26019,18441
p26021,152261
p26023,45215
p26025,133366
p26027,51642
p26029,26159
p26031,26048
p26033,36264
p26035,31316
p26037,79720
p26039,13538
p26041,36790
p26043,25982
p26045,108820
p26047,34123
p26049,401522
p26051,25853
p26053,14224
p26055,96421
p26057,41368
p26059,45587
p26061,37599
p26063,30927
p26065,284637
p26067,66262
p26069,25373
p26071,11740
p26073,64118
p26075,159424
p26077,262215
p26079,18490
p26081,661354
p26083,2172
p26085,12734
p26087,88977
p26089,23019
p26091,97520
p26093,196757
p26095,6435
p26097,10851
p26099,875101
p26101,25562
p26103,66999
p26105,29159
p26107,41099
p26109,22945
p26111,84039
p26113,15311
p26115,155045
p26117,68154
p26119,9678
p26121,176564
p26123,51108
p26125,1270426
p26127,26981
p26129,20990
p26131,5906
p26133,23330
p26135,8545
p26137,25747
p26139,303372
p26141,13285
p26143,23863
p26145,187782
p26147,159874
p26149,60878
p26151,40368
p26153,8149
p26155,68025
p26157,52826
p26159,75798
p26161,365536
p26163,1751169
p26165,34122
p27001,16102
p27003,372441
p27005,35283
p27007,46718
p27009,41600
p27011,5105
p27013,70006
p27015,25628
p27017,36825
p27019,111057
p27021,31446
p27023,12172
p27025,58535
p27027,66258
p27029,8644
p27031,5639
p27033,11319
p27035,68304
p27037,447440
p27039,21088
p27041,39953
p27043,13873
p27045,21522
p27047,30515
p27049,48035
p27051,6139
p27053,1258713
p27055,18582
p27057,22132
p27059,43182
p27061,45365
p27063,9919
p27065,16602
p27067,43813
p27069,4060
p27071,11751
p27073,6630
p27075,10855
p27077,3778
p27079,29255
p27081,5521
p27083,25427
p27085,36785
p27087,5280
p27089,8810
p27091,19657
p27093,23490
p27095,27427
p27097,34250
p27099,40058
p27101,8049
p27103,34242
p27105,21727
p27107,6329
p27109,164784
p27111,60626
p27113,13714
p27115,30197
p27117,9245
p27119,30412
p27121,11400
p27123,536075
p27125,3911
p27127,15288
p27129,14348
p27131,67948
p27133,9551
p27135,15252
p27137,200514
p27139,155814
p27141,102206
p27143,15084
p27145,160977
p27147,37421
p27149,9728
p27151,9719
p27153,25667
p27155,3136
p27157,21683
p27159,14241
p27161,18981
p27163,278936
p27165,11077
p27167,6306
p27169,49721
p27171,151150
p27173,9467
p28001,28746
p28003,34135
p28005,12442
p28007,17359
p28009,7438
p28011,28968
p28013,12685
p28015,9535
p28017,16866
p28019,8088
p28021,8617
p28023,15228
p28025,18206
p28027,20077
p28029,27664
p28031,18059
p28033,193247
p28035,78208
p28037,7610
p28039,25619
p28041,13601
p28043,21065
p28045,46159
p28047,210612
p28049,214870
p28051,15777
p28053,7216
p28055,1256
p28057,24093
p28059,146389
p28061,16013
p28063,6941
p28065,10969
p28067,66250
p28069,8584
p28071,58467
p28073,66217
p28075,70527
p28077,11741
p28079,21258
p28081,82799
p28083,26378
p28085,34702
p28087,57283
p28089,112511
p28091,24224
p28093,34123
p28095,33609
p28097,9600
p28099,28789
p28101,21019
p28103,9914
p28105,51203
p28107,32669
p28109,57978
p28111,11315
p28113,39394
p28115,31535
p28117,25135
p28119,5546
p28121,160417
p28123,27507
p28125,3336
p28127,25715
p28129,14099
p28131,18756
p28133,24468
p28135,11837
p28137,28261
p28139,21287
p28141,18507
p28143,9234
p28145,28284
p28147,13863
p28149,42298
p28151,41946
p28153,19703
p28155,9988
p28157,8058
p28159,17416
p28161,12386
p28163,25796
p29001,25122
p29003,18127
p29005,5107
p29007,24394
p29009,35265
p29011,11731
p29013,16242
p29015,20552
p29017,10544
p29019,189463
p29021,82956
p29023,41948
p29025,8955
p29027,44731
p29029,44044
p29031,82984
p29033,8391
p29035,5303
p29037,111732
p29039,14672
p29041,7399
p29043,94422
p29045,6641
p29047,259772
p29049,21548
p29051,77278
p29053,16947
p29055,22719
p29057,7716
p29059,17768
p29061,8551
p29063,9899
p29065,14647
p29067,12228
p29069,27032
p29071,106404
p29073,14705
p29075,6287
p29077,304611
p29079,9815
p29081,8220
p29083,22485
p29085,8718
p29087,4248
p29089,10101
p29091,40735
p29093,9440
p29095,718560
p29097,125056
p29099,231230
p29101,54962
p29103,3723
p29105,36680
p29107,33196
p29109,38872
p29111,9818
p29113,64699
p29115,11791
p29117,14557
p29119,23903
p29121,15161
p29123,12698
p29125,8430
p29127,28336
p29129,3469
p29131,25590
p29133,11822
p29135,15256
p29137,8698
p29139,11459
p29141,21970
p29143,15424
p29145,60677
p29147,20695
p29149,8720
p29151,13468
p29153,8970
p29155,14613
p29157,18950
p29159,43530
p29161,45284
p29163,17935
p29165,111940
p29167,32780
p29169,53812
p29171,4638
p29173,10489
p29175,24109
p29177,23182
p29179,5950
p29181,10806
p29183,416659
p29185,9752
p29186,18642
p29187,67058
p29189,987059
p29195,23049
p29197,4053
p29199,4676
p29201,37889
p29203,7238
p29205,5931
p29207,28397
p29209,32658
p29211,5797
p29213,56775
p29215,25619
p29217,19710
p29219,37806
p29221,23534
p29223,10811
p29225,41472
p29227,1907
p29229,19403
p29510,281754
p30001,9885
p30003,12751
p30005,6899
p30007,8032
p30009,11419
p30011,1418
p30013,84900
p30015,5847
p30017,11985
p30019,1633
p30021,8810
p30023,9673
p30025,2994
p30027,11772
p30029,113679
p30031,126409
p30033,1211
p30035,13609
p30037,835
p30039,3595
p30041,16276
p30043,13048
p30045,2093
p30047,33338
p30049,75011
p30051,1974
p30053,21895
p30055,1676
p30057,9521
p30059,2071
p30061,5090
p30063,121849
p30065,5308
p30067,17903
p30069,554
p30071,4249
p30073,6125
p30075,1743
p30077,7133
p30079,1112
p30081,47738
p30083,11173
p30085,10319
p30087,8160
p30089,13684
p30091,3498
p30093,36360
p30095,9173
p30097,3763
